task_id,candidate_id,agent_id,validator_family,selection_status,selection_reason,exclusion_reason,selected_before_l2,gold_patch_available,gold_patch_l2_status,candidate_l1_status,candidate_l2_status,candidate_l2_reason,bundle_path
astropy__astropy-7671,203e0cbc-5ece-56a8-9a2f-87c80e23913c,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__astropy__astropy-7671__astropy
astropy__astropy-7671,28bac07d-9ede-5b1b-a50d-060a4f3852dd,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__astropy__astropy-7671__astropy
astropy__astropy-7671,111ef252-bbe6-5d6f-9330-7c2037e10b97,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__astropy__astropy-7671__astropy
astropy__astropy-7671,203e0cbc-5ece-56a8-9a2f-87c80e23913c,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__astropy__astropy-7671__regressionfail
astropy__astropy-7671,28bac07d-9ede-5b1b-a50d-060a4f3852dd,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__astropy__astropy-7671__regressionfail
astropy__astropy-7671,111ef252-bbe6-5d6f-9330-7c2037e10b97,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__astropy__astropy-7671__regressionfail
django__django-7530,13c7660d-5d9e-50c3-991b-1b459869a3bb,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__django__django-7530__astropy
django__django-7530,2a68dc36-d9d5-5557-b530-a4410fc74bfb,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__django__django-7530__astropy
django__django-7530,2dc707b5-d0ae-5d29-9546-d831f7e05444,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__django__django-7530__astropy
django__django-7530,13c7660d-5d9e-50c3-991b-1b459869a3bb,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__django__django-7530__regressionfail
django__django-7530,2a68dc36-d9d5-5557-b530-a4410fc74bfb,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__django__django-7530__regressionfail
django__django-7530,2dc707b5-d0ae-5d29-9546-d831f7e05444,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__django__django-7530__regressionfail
django__django-9296,48644061-69ad-5995-a080-7c0f5ab6cffd,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__django__django-9296__astropy
django__django-9296,362c2ffa-3100-5ceb-9dcd-96e37011e936,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__django__django-9296__astropy
django__django-9296,8ae14dc4-2502-56c5-afc3-2821c1a8362e,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__django__django-9296__astropy
django__django-9296,48644061-69ad-5995-a080-7c0f5ab6cffd,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__django__django-9296__regressionfail
django__django-9296,362c2ffa-3100-5ceb-9dcd-96e37011e936,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__django__django-9296__regressionfail
django__django-9296,8ae14dc4-2502-56c5-afc3-2821c1a8362e,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__django__django-9296__regressionfail
pallets__flask-5014,7bc27a52-4128-5874-8570-f67c56304a60,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__pallets__flask-5014__astropy
pallets__flask-5014,b7abef34-8beb-50e5-8348-a9869d88f0cd,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__pallets__flask-5014__astropy
pallets__flask-5014,ccc861e3-0d60-53b3-b126-fb804dcf39d4,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__pallets__flask-5014__astropy
pallets__flask-5014,7bc27a52-4128-5874-8570-f67c56304a60,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__pallets__flask-5014__regressionfail
pallets__flask-5014,b7abef34-8beb-50e5-8348-a9869d88f0cd,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__pallets__flask-5014__regressionfail
pallets__flask-5014,ccc861e3-0d60-53b3-b126-fb804dcf39d4,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__pallets__flask-5014__regressionfail
psf__requests-1766,a8f1cc96-a500-595b-9219-6ceedc3a70ec,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__psf__requests-1766__astropy
psf__requests-1766,82f8821d-0c9d-5347-9d34-b7896a0a8486,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__psf__requests-1766__astropy
psf__requests-1766,769784e1-748a-5ac0-bea4-03ef6dcd9841,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__psf__requests-1766__astropy
psf__requests-1766,a8f1cc96-a500-595b-9219-6ceedc3a70ec,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__psf__requests-1766__regressionfail
psf__requests-1766,82f8821d-0c9d-5347-9d34-b7896a0a8486,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__psf__requests-1766__regressionfail
psf__requests-1766,769784e1-748a-5ac0-bea4-03ef6dcd9841,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__psf__requests-1766__regressionfail
psf__requests-2317,054b79de-7111-5890-965b-069e9c6b8779,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__psf__requests-2317__astropy
psf__requests-2317,8471fa1a-6b7f-5a4a-93e5-1ae58a93ba25,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__psf__requests-2317__astropy
psf__requests-2317,9c1a895d-8508-59ea-99c5-58f6c3a8a656,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__psf__requests-2317__astropy
psf__requests-2317,054b79de-7111-5890-965b-069e9c6b8779,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__psf__requests-2317__regressionfail
psf__requests-2317,8471fa1a-6b7f-5a4a-93e5-1ae58a93ba25,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__psf__requests-2317__regressionfail
psf__requests-2317,9c1a895d-8508-59ea-99c5-58f6c3a8a656,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__psf__requests-2317__regressionfail
pydata__xarray-4075,198763ac-c9bc-53ca-8b8a-43e6e301e2f2,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__pydata__xarray-4075__astropy
pydata__xarray-4075,c104fe3e-c2dc-5fb2-9350-616c4cae50e7,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__pydata__xarray-4075__astropy
pydata__xarray-4075,d91ca376-8976-5a75-a6b8-b09ed614e7d9,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__pydata__xarray-4075__astropy
pydata__xarray-4075,198763ac-c9bc-53ca-8b8a-43e6e301e2f2,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__pydata__xarray-4075__regressionfail
pydata__xarray-4075,c104fe3e-c2dc-5fb2-9350-616c4cae50e7,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__pydata__xarray-4075__regressionfail
pydata__xarray-4075,d91ca376-8976-5a75-a6b8-b09ed614e7d9,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__pydata__xarray-4075__regressionfail
pydata__xarray-4629,60265503-6ff5-519a-aea3-e80f4e41334e,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__pydata__xarray-4629__astropy
pydata__xarray-4629,ecd386dd-8921-5fdd-a5dc-aa98241dfccd,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__pydata__xarray-4629__astropy
pydata__xarray-4629,f4520c6c-d0ec-599b-a56f-89bd9351e8d1,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__pydata__xarray-4629__astropy
pydata__xarray-4629,60265503-6ff5-519a-aea3-e80f4e41334e,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__pydata__xarray-4629__regressionfail
pydata__xarray-4629,ecd386dd-8921-5fdd-a5dc-aa98241dfccd,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__pydata__xarray-4629__regressionfail
pydata__xarray-4629,f4520c6c-d0ec-599b-a56f-89bd9351e8d1,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__pydata__xarray-4629__regressionfail
pylint-dev__pylint-6903,4613ca31-4e7b-5ef0-a215-f2311a674f6c,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__pylint-dev__pylint-6903__astropy
pylint-dev__pylint-6903,e09b20a8-ae09-51f5-b332-a04bd3227628,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__pylint-dev__pylint-6903__astropy
pylint-dev__pylint-6903,2cecdd4d-67c4-5069-b662-337be1952f90,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__pylint-dev__pylint-6903__astropy
pylint-dev__pylint-6903,4613ca31-4e7b-5ef0-a215-f2311a674f6c,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__pylint-dev__pylint-6903__regressionfail
pylint-dev__pylint-6903,e09b20a8-ae09-51f5-b332-a04bd3227628,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__pylint-dev__pylint-6903__regressionfail
pylint-dev__pylint-6903,2cecdd4d-67c4-5069-b662-337be1952f90,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,fail,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__pylint-dev__pylint-6903__regressionfail
pylint-dev__pylint-7277,36cf7a76-9e95-59e7-92fb-70c314f2205a,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__pylint-dev__pylint-7277__astropy
pylint-dev__pylint-7277,f5aa3745-bec2-58af-9da3-d72947a411a1,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__pylint-dev__pylint-7277__astropy
pylint-dev__pylint-7277,83f1517c-d4cf-58b5-9265-febeec2b8dc2,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__pylint-dev__pylint-7277__astropy
pylint-dev__pylint-7277,36cf7a76-9e95-59e7-92fb-70c314f2205a,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__pylint-dev__pylint-7277__regressionfail
pylint-dev__pylint-7277,f5aa3745-bec2-58af-9da3-d72947a411a1,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__pylint-dev__pylint-7277__regressionfail
pylint-dev__pylint-7277,83f1517c-d4cf-58b5-9265-febeec2b8dc2,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__pylint-dev__pylint-7277__regressionfail
sphinx-doc__sphinx-9698,2342dcfd-05f1-5eed-815c-38322096db3e,gru,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/gru__sphinx-doc__sphinx-9698__astropy
sphinx-doc__sphinx-9698,b0a3f6fa-7055-58b8-8912-fe216fe0bfba,honeycomb,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/honeycomb__sphinx-doc__sphinx-9698__astropy
sphinx-doc__sphinx-9698,c2cab6db-e092-55c4-92aa-7e0b2cca70fd,sweagent,augmented_unit_tests,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_AUG_TESTS_FAIL,runs/released/l2_verified_flagship_v1/results_astropy/sweagent__sphinx-doc__sphinx-9698__astropy
sphinx-doc__sphinx-9698,2342dcfd-05f1-5eed-815c-38322096db3e,gru,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/gru__sphinx-doc__sphinx-9698__regressionfail
sphinx-doc__sphinx-9698,b0a3f6fa-7055-58b8-8912-fe216fe0bfba,honeycomb,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/honeycomb__sphinx-doc__sphinx-9698__regressionfail
sphinx-doc__sphinx-9698,c2cab6db-e092-55c4-92aa-7e0b2cca70fd,sweagent,targeted_regression,selected,Deterministic twin-family expansion from agent_panel_verified_flagship_v1 base rows (fixed before L2).,,true,true,fail,pass,fail,L2_REGRESSION_FAIL,runs/released/l2_verified_flagship_v1/results_regression_fail/sweagent__sphinx-doc__sphinx-9698__regressionfail
